Hotkey,UID,Rank,Final score,Valid rows,Construction,Assigned band group,Assigned joined band space,Assigned candidate slice,Candidate slice used by upload,Clean count /900,Exact clean set,Clean hits,Actual HDR band,HDR hits,Percent of leader,Gap to leader,Reward weight,Latest recorded band,Recorded band matches upload
h0,248,233,20.976572382724925,250,conjunction,predicted,100–399,100–249,True,98,"102, 106, 120, 145, 162, 168, 171, 173, 180, 182, 183, 190, 191, 195, 196, 199, 200, 210, 212, 218, 221, 223, 229, 252, 255, 265, 272, 286, 292, 293, 298, 302, 321, 323, 326, 329, 330, 360, 361, 367, 368, 370, 381, 392, 394, 398, 431, 437, 440, 441, 448, 453, 455, 466, 499, 515, 524, 527, 535, 546, 548, 549, 570, 592, 606, 613, 653, 670, 671, 687, 696, 707, 720, 736, 739, 755, 770, 772, 795, 824, 832, 846, 855, 858, 865, 886, 899, 904, 911, 925, 929, 939, 955, 957, 959, 962, 985, 987",none,"120, 162, 171, 173, 180, 182, 183, 190, 195, 200, 210, 223",none,13.888183165685493,130.06242337701715,0.0,"120, 162, 171, 173, 180, 182, 183, 190, 195, 200, 210, 223",True
h1,41,229,21.17891026389962,250,conjunction,predicted,100–399,150–299,True,109,"110, 116, 143, 149, 152, 162, 164, 165, 169, 170, 176, 183, 189, 198, 203, 204, 206, 211, 221, 222, 223, 226, 228, 230, 231, 246, 248, 254, 270, 288, 299, 305, 320, 322, 324, 329, 331, 334, 345, 363, 382, 388, 390, 407, 427, 433, 435, 464, 468, 485, 494, 501, 510, 512, 514, 519, 526, 530, 538, 544, 550, 570, 574, 575, 586, 608, 613, 617, 624, 625, 631, 640, 641, 650, 657, 670, 699, 701, 723, 739, 743, 746, 752, 764, 771, 783, 786, 797, 804, 820, 828, 841, 845, 858, 886, 908, 912, 924, 928, 929, 931, 948, 951, 960, 963, 976, 978, 986, 998",none,"152, 169, 183, 198, 206, 221, 223, 226, 230, 246, 254, 288",none,14.022147166278131,129.86008549584247,0.0,"152, 169, 183, 198, 206, 221, 223, 226, 230, 246, 254, 288",True
h2,163,228,21.21808718034508,250,conjunction,predicted,100–399,200–349,True,85,"104, 129, 135, 147, 166, 169, 178, 180, 188, 193, 200, 220, 222, 223, 225, 233, 242, 245, 263, 268, 276, 288, 291, 298, 301, 308, 309, 310, 316, 326, 327, 332, 333, 339, 343, 355, 356, 364, 398, 402, 412, 465, 466, 475, 496, 505, 508, 533, 540, 551, 555, 576, 577, 583, 585, 603, 622, 629, 632, 634, 640, 649, 671, 683, 686, 704, 727, 734, 735, 736, 746, 751, 758, 820, 837, 840, 845, 846, 849, 855, 909, 916, 942, 988, 998",none,"200, 220, 223, 225, 242, 263, 288, 301, 308, 316, 326, 343",none,14.0480854454943,129.82090857939698,0.0,"200, 220, 223, 225, 242, 263, 288, 301, 308, 316, 326, 343",True
h3,118,234,20.89043335734538,250,conjunction,predicted,100–399,250–399,True,85,"113, 114, 123, 149, 157, 166, 171, 185, 190, 206, 210, 214, 219, 227, 232, 251, 253, 260, 265, 273, 278, 293, 300, 308, 319, 334, 339, 350, 353, 354, 357, 363, 368, 372, 376, 382, 404, 407, 424, 444, 489, 500, 508, 524, 541, 573, 591, 597, 602, 636, 666, 671, 708, 719, 739, 743, 748, 760, 766, 774, 779, 782, 792, 794, 803, 806, 827, 831, 836, 840, 845, 859, 862, 878, 901, 903, 907, 919, 938, 951, 958, 975, 988, 992, 999",none,"251, 260, 265, 293, 300, 308, 319, 353, 354, 357, 363, 372",none,13.831152181768884,130.1485624023967,0.0,"251, 260, 265, 293, 300, 308, 319, 353, 354, 357, 363, 372",True
h4,190,231,21.15812031847457,250,ordinary_fallback,predicted,100–399,100–149 ∪ 300–399,False,8,"250, 333, 373, 575, 780, 865, 904, 962",none,none,none,14.00838254521423,129.8808754412675,0.0,"121, 124, 130, 300, 309, 324, 335, 357, 362, 378, 380, 396",False
h5,234,226,22.567549557087094,250,conjunction,predicted,100–399,100–199 ∪ 350–399,True,100,"106, 108, 119, 125, 132, 142, 159, 162, 172, 173, 174, 183, 188, 189, 191, 194, 197, 199, 221, 233, 236, 239, 246, 273, 282, 285, 305, 315, 319, 326, 344, 349, 371, 384, 403, 404, 409, 415, 427, 428, 439, 443, 459, 476, 477, 496, 498, 505, 508, 512, 547, 554, 559, 571, 589, 596, 600, 606, 616, 619, 642, 649, 660, 662, 673, 694, 714, 722, 739, 740, 744, 747, 748, 760, 769, 775, 790, 798, 803, 807, 819, 826, 828, 831, 842, 853, 859, 860, 862, 871, 879, 895, 898, 905, 922, 926, 942, 951, 955, 967",none,"108, 125, 132, 162, 172, 173, 174, 188, 189, 191, 199, 384",none,14.941538404416647,128.471446202655,0.0,"108, 125, 132, 162, 172, 173, 174, 188, 189, 191, 199, 384",True
h6,175,209,24.747346309743865,250,conjunction,complement,400–999,400–549,True,89,"111, 124, 125, 126, 139, 142, 185, 192, 193, 201, 214, 216, 239, 246, 251, 256, 288, 308, 324, 344, 353, 378, 394, 401, 408, 414, 416, 419, 429, 434, 435, 448, 451, 455, 456, 466, 467, 471, 481, 485, 507, 509, 515, 524, 528, 534, 537, 538, 549, 550, 562, 575, 579, 600, 626, 629, 633, 638, 677, 685, 689, 693, 698, 711, 729, 746, 751, 754, 756, 789, 795, 796, 813, 823, 826, 839, 846, 864, 865, 875, 878, 899, 917, 930, 935, 954, 955, 991, 998",none,"401, 414, 416, 429, 434, 435, 481, 485, 507, 524, 538, 549",none,16.384739705969377,126.29164944999822,0.0,"401, 414, 416, 429, 434, 435, 481, 485, 507, 524, 538, 549",True
h7,65,227,22.37862968994533,250,conjunction,complement,400–999,550–699,True,66,"125, 134, 136, 140, 141, 165, 181, 186, 200, 201, 292, 295, 305, 310, 330, 333, 363, 365, 390, 397, 398, 421, 476, 519, 544, 557, 564, 579, 581, 582, 587, 590, 595, 600, 603, 604, 614, 621, 625, 634, 638, 647, 648, 651, 669, 670, 685, 687, 696, 723, 775, 784, 796, 817, 846, 879, 880, 883, 885, 896, 909, 957, 977, 987, 991, 997",none,"557, 564, 579, 581, 603, 604, 621, 625, 634, 648, 651, 696",none,14.816458211588646,128.66036606979674,0.0,"557, 564, 579, 581, 603, 604, 621, 625, 634, 648, 651, 696",True
h8,211,225,23.27903113634108,250,conjunction,complement,400–999,700–849,True,92,"104, 114, 122, 130, 136, 142, 155, 190, 193, 198, 205, 238, 248, 253, 270, 276, 280, 286, 293, 304, 312, 313, 333, 350, 382, 407, 440, 443, 447, 449, 470, 482, 492, 513, 522, 527, 536, 565, 567, 579, 586, 598, 619, 622, 626, 628, 643, 687, 700, 701, 707, 716, 717, 718, 732, 738, 749, 754, 763, 764, 765, 767, 769, 771, 778, 792, 795, 802, 804, 805, 813, 815, 824, 829, 848, 856, 858, 860, 864, 865, 871, 882, 886, 902, 912, 932, 942, 951, 962, 964, 995, 997",none,"701, 738, 749, 765, 767, 778, 792, 795, 804, 815, 824, 848",none,15.412596607415916,127.759964623401,0.0,"701, 738, 749, 765, 767, 778, 792, 795, 804, 815, 824, 848",True
h9,245,235,20.667429045268072,250,conjunction,complement,400–999,850–999,True,91,"129, 132, 135, 147, 163, 184, 200, 203, 207, 210, 224, 241, 271, 275, 276, 283, 288, 308, 392, 410, 412, 422, 442, 444, 451, 454, 463, 465, 484, 491, 507, 508, 511, 516, 529, 542, 566, 598, 644, 655, 656, 682, 683, 684, 690, 692, 703, 716, 744, 745, 751, 752, 758, 760, 764, 776, 789, 811, 837, 844, 851, 865, 874, 878, 886, 889, 892, 894, 902, 914, 918, 919, 929, 932, 934, 935, 945, 950, 953, 954, 955, 959, 964, 972, 982, 986, 988, 989, 995, 996, 998",none,"865, 886, 889, 894, 914, 945, 953, 954, 964, 972, 986, 996",none,13.683505336690517,130.371566714474,0.0,"865, 886, 889, 894, 914, 945, 953, 954, 964, 972, 986, 996",True
