Hotkey,UID,Rank,Final score,Valid rows,Band group,Joined band space,Candidate slice,Clean count /900,Exact clean set,Clean hits,HDR band,HDR hits,Percent of leader,Gap to leader,Reward weight
h0,248,174,23.02461062689891,250,predicted,200–399 ∪ 900–999,200–349,18,"164, 205, 206, 241, 260, 318, 325, 332, 333, 346, 432, 462, 468, 530, 537, 549, 723, 826",none,"205, 206, 260, 318, 325, 332, 333, 346",none,13.198333380804259,151.42628375940328,0.0
h1,41,114,27.34118922186995,250,predicted,200–399 ∪ 900–999,250–399,21,"207, 256, 267, 270, 330, 332, 333, 377, 378, 380, 384, 393, 398, 481, 501, 505, 609, 649, 652, 844, 888",none,"267, 270, 330, 332, 378, 380, 384, 393",none,15.672713698633101,147.10970516443226,0.0
h2,163,136,26.838528760691776,250,predicted,200–399 ∪ 900–999,300–399 ∪ 900–949,20,"107, 287, 300, 302, 334, 350, 378, 381, 485, 489, 504, 543, 564, 618, 636, 731, 812, 879, 903, 935",none,"300, 302, 334, 350, 378, 381, 903, 935",none,15.384575043370557,147.6123656256104,0.0
h3,118,160,24.92046284626977,250,predicted,200–399 ∪ 900–999,350–399 ∪ 900–999,19,"203, 206, 311, 323, 359, 362, 371, 378, 382, 402, 460, 483, 617, 745, 906, 908, 920, 951, 955",none,"359, 362, 378, 382, 906, 920, 951, 955",none,14.285087464834755,149.53043154003242,0.0
h4,190,20,30.859702268986,250,predicted,200–399 ∪ 900–999,200–249 ∪ 900–999,19,"194, 208, 221, 541, 599, 602, 753, 759, 800, 861, 863, 885, 929, 944, 945, 949, 951, 961, 986",none,"208, 221, 929, 944, 945, 949, 951, 961",none,17.68962112664817,143.5911921173162,0.0
h5,234,177,22.43587371887727,250,predicted,200–399 ∪ 900–999,200–299 ∪ 950–999,19,"166, 186, 203, 208, 241, 243, 252, 256, 289, 297, 357, 502, 508, 534, 644, 674, 827, 951, 967",none,"208, 241, 243, 252, 256, 289, 297, 951",none,12.86085336380994,152.01502066742492,0.0
h6,175,14,120.79679859928984,250,complement,100–199 ∪ 400–899,100–199 ∪ 400–449,20,"111, 124, 132, 136, 145, 154, 174, 240, 279, 322, 326, 361, 426, 433, 475, 486, 696, 749, 887, 995",124,"111, 124, 136, 145, 154, 174, 426, 433",124,69.24401220425888,53.65409578701235,0.0
h7,65,171,23.66045412737814,250,complement,100–199 ∪ 400–899,450–599,21,"222, 394, 437, 447, 450, 458, 499, 532, 542, 550, 552, 560, 574, 583, 618, 679, 708, 750, 842, 912, 990",none,"450, 458, 532, 542, 550, 552, 574, 583",none,13.562816178508484,150.79044025892406,0.0
h8,211,163,24.798591469444357,250,complement,100–199 ∪ 400–899,600–749,19,"118, 303, 304, 403, 421, 428, 447, 448, 577, 676, 687, 694, 720, 727, 728, 732, 749, 809, 924",none,"676, 687, 694, 720, 727, 728, 732, 749",none,14.215227475148751,149.65230291685785,0.0
h9,245,154,25.518930614303798,250,complement,100–199 ∪ 400–899,750–899,18,"122, 144, 417, 488, 513, 677, 702, 741, 756, 762, 768, 792, 829, 852, 865, 866, 882, 892",none,"756, 762, 768, 829, 852, 866, 882, 892",none,14.628145475594383,148.9319637719984,0.0
