Hotkey,UID,Rank (ties shared),Final score,Valid rows,Uploaded,Original joined space,Original candidate slice,Clean count /900,Clean hits,Actual HDR band,HDR hits,Percent of leader,Gap to leader
h0,248,237,0.0,0,False,100–399,100–249,N/A,N/A,N/A,N/A,0.0,182.34077715276692
h1,41,229,29.062039856830754,250,True,100–399,130–279,141,236,"136, 141, 144, 145, 222, 251, 252, 253, 256, 261, 274",none,15.938310843373388,153.27873729593617
h2,163,222,30.052146666998322,250,True,100–399,160–309,131,156,"195, 223, 249, 251, 256, 260, 261, 271, 281, 282, 300",none,16.48130886368897,152.2886304857686
h3,118,233,26.438157447355195,250,True,100–399,190–339,139,none,"210, 244, 251, 256, 261, 272, 281, 300, 301, 307, 318",none,14.49931159677193,155.90261970541172
h4,190,237,0.0,0,False,100–399,220–369,N/A,N/A,N/A,N/A,0.0,182.34077715276692
h5,234,237,0.0,0,False,100–399,250–399,N/A,N/A,N/A,N/A,0.0,182.34077715276692
h6,175,237,0.0,0,False,100–399,"100–129, 280–399",N/A,N/A,N/A,N/A,0.0,182.34077715276692
h7,65,231,27.877263976637792,250,True,100–399,"100–159, 310–399",140,none,"137, 159, 312, 320, 332, 343, 352, 354, 364, 385, 398",none,15.288551695313847,154.46351317612914
h8,211,150,41.0028393211687,250,True,100–399,"100–189, 340–399",139,156,"101, 107, 117, 139, 140, 159, 164, 348, 355, 357, 385",none,22.4869280264261,141.33793783159823
h9,245,228,29.500824024206135,250,True,100–399,"100–219, 370–399",133,none,"112, 116, 159, 192, 201, 204, 210, 218, 385, 398, 399",none,16.17895047112257,152.83995312856078
