Hotkey,UID,Rank (ties shared),Final score,Valid rows,Construction,Joined space,Candidate slice,Clean count /900,Clean hits,Actual HDR band,HDR hits,Percent of top,Gap to top
h0,248,244,20.31293724780201,250,conjunction,"200–299, 400–499, 800–899","200–299, 400–449",137,none,"213, 221, 235, 247, 269, 273, 298, 411, 431, 437, 449",none,15.42859769090724,111.34476525210391
h1,41,243,21.14153617574725,250,conjunction,"200–299, 400–499, 800–899","250–299, 400–499",134,none,"253, 295, 401, 405, 411, 431, 437, 442, 461, 465, 470",none,16.057956180545045,110.51616632415868
h2,163,234,21.860324213700952,250,conjunction,"200–299, 400–499, 800–899","400–499, 800–849",150,none,"403, 431, 435, 437, 445, 497, 499, 800, 802, 808, 830",none,16.603908315745198,109.79737828620497
h3,118,236,21.713497684717755,250,conjunction,"200–299, 400–499, 800–899","450–499, 800–899",139,none,"450, 487, 800, 806, 809, 822, 824, 856, 859, 860, 874",none,16.492386903632372,109.94420481518817
h4,190,208,24.438037692744174,250,conjunction,"200–299, 400–499, 800–899","200–249, 800–899",141,998,"209, 218, 231, 248, 249, 800, 817, 859, 860, 874, 876",none,18.56179868607508,107.21966480716175
h5,234,231,22.427309621354482,250,ordinary_hdr_fallback,"200–299, 400–499, 800–899","200–299, 850–899",9,none,none,none,17.034559464054528,109.23039287855144
h6,175,222,23.05365420140644,250,conjunction,"200–299, 400–499, 800–899","225–299, 400–474",128,none,"227, 249, 270, 276, 285, 297, 411, 431, 437, 465, 470",none,17.510296597666144,108.60404829849948
h7,65,233,22.000476650350368,250,all_hdr,"200–299, 400–499, 800–899","200–299, 400–499, 800–899",15,none,"212, 262, 282, 292, 299, 405, 412, 434, 457, 807, 816",none,16.71036045184374,109.65722584955556
h8,211,197,24.754255542693993,250,conjunction,"100–199, 300–399, 800–899","100–189, 840–899",131,486,"116, 120, 143, 157, 168, 184, 864, 868, 885, 892, 895",none,18.801980493858068,106.90344695721193
h9,245,246,0.0,0,no_uploaded_archive,"100–199, 300–399, 800–899","100–199, 300–319, 870–899",N/A,not recoverable,not recoverable,not recoverable,0.0,131.65770249990592
