No,Created UTC,Cell,Hist,Current method,Current windows,Proposed method,Proposed windows,Actual windows,Current matched seeds,Proposed matched seeds,Task ID
1,2026-09-18T03:03:14.557809,CD34+_HSPC,51,repeat_last,100/200/900,repeat_last,100/200/900,300/700/800,0,0,59b6d75a-824b-4021-bd7a-3360b43ef0e4
2,2026-09-18T00:35:26.785386,HEK293,52,cold_hand,200/300/900,cold_hand,200/300/900,300/700/800,1,1,4f3cc5a5-cbb5-4a1e-86c4-2c88d2e51697
3,2026-09-17T22:08:27.490979,CD34+_HSPC,50,repeat_last,300/400/800,repeat_last,300/400/800,100/900/900,0,0,cef21622-627f-4171-bb83-53bfc44b4f91
4,2026-09-17T19:44:49.986698,K562,46,cold_hand,200/800/900,cold_hand,200/800/900,200/300/700,1,1,af21b154-5ee4-4c34-98cb-ebd58f04cdc2
5,2026-09-17T17:19:11.656625,HEK293,51,cold_hand,200/300/900,cold_hand,200/300/900,100/800/900,1,1,7bca65ce-693d-4ad9-bf60-6297014bed83
6,2026-09-17T14:54:13.884814,HEK293,50,cold_hand,200/300/900,cold_hand,200/300/900,200/300/800,2,2,1bdd141b-baee-4f0b-8c57-116709b5396f
7,2026-09-17T12:29:37.788940,K562,45,cold_hand,100/800/900,cold_hand,100/800/900,100/100/100,3,3,392b3538-c4df-48c6-be18-009f928fc665
8,2026-09-17T10:04:50.190350,K562,44,cold_hand,600/800/900,cold_hand,600/800/900,500/600/900,2,2,be83a838-ad18-4b8b-a9c0-e24cd643084a
9,2026-09-17T07:40:25.878887,K562,43,cold_hand,600/800/900,cold_hand,600/800/900,400/800/900,2,2,495d5c6e-0ee8-4560-9e39-97c2b8383409
10,2026-09-17T05:15:18.716827,HUDEP-2,49,uniform,100/200/300,uniform,100/200/300,100/300/400,2,2,f85c9450-f8b9-4e0e-a158-e53db9832f42
11,2026-09-17T02:51:24.416551,HEK293,49,cold_hand,200/300/900,cold_hand,200/300/900,500/600/700,0,0,62cc85fb-174e-42be-84a7-7561de59bf45
12,2026-09-17T00:26:18.340389,HEK293,48,repeat_last,200/400/600,cold_hand,300/600/900,300/500/600,1,2,3fd0e6e3-5fee-4a8c-9547-edbe5059546c
13,2026-09-16T22:01:28.234615,HUDEP-2,48,uniform,100/200/300,uniform,100/200/300,200/600/800,1,1,f6686c85-9251-48f5-80c3-2f1618f1b349
14,2026-09-16T19:37:02.555036,HUDEP-2,47,uniform,100/200/300,uniform,100/200/300,200/700/900,1,1,88dd2782-4fca-415a-a88d-01fb55e8187e
15,2026-09-16T17:12:16.339558,K562,42,cold_hand,600/800/900,cold_hand,600/800/900,400/500/700,0,0,7ac3ef3a-30d7-45f4-bb5d-f148877deb8f
16,2026-09-16T14:47:53.525021,HUDEP-2,46,uniform,100/200/300,uniform,100/200/300,100/200/400,2,2,9910aa69-4ecf-48ab-8540-24a05d6c1f7e
17,2026-09-16T12:22:34.494516,CD34+_HSPC,49,repeat_last,100/200/500,repeat_last,100/200/500,300/400/800,0,0,65df5469-1369-41ed-b6dc-94e0dae70dbd
18,2026-09-16T09:58:03.315496,CD34+_HSPC,48,repeat_last,100/200/700,repeat_last,100/200/700,100/100/500,2,2,fb8fe56f-5e04-442f-9bcd-08a21fc910f3
19,2026-09-16T07:33:37.612187,K562,41,cold_hand,200/800/900,cold_hand,200/800/900,200/800/800,3,3,87bd27c0-3b10-4eb8-a474-b83ab062c441
20,2026-09-16T05:08:58.605774,HUDEP-2,45,uniform,100/200/300,uniform,100/200/300,300/300/700,2,2,f99a804f-d209-49c0-ac50-b3efa19dd7fe
