No,Created,Cell type,Hist,Picked method,Predicted windows,Actual windows,Matched seeds,Matched distinct windows,Average rank,Task ID
1,2026-09-18T03:03:14.557809,CD34+_HSPC,51,repeat_last,100/200/900,300/700/800,0,0,1.0,59b6d75a-824b-4021-bd7a-3360b43ef0e4
2,2026-09-18T00:35:26.785386,HEK293,52,cold_hand,200/300/900,300/700/800,1,1,1.1666666666666667,4f3cc5a5-cbb5-4a1e-86c4-2c88d2e51697
3,2026-09-17T22:08:27.490979,CD34+_HSPC,50,repeat_last,300/400/800,100/900/900,0,0,1.3333333333333333,cef21622-627f-4171-bb83-53bfc44b4f91
4,2026-09-17T19:44:49.986698,K562,46,cold_hand,200/800/900,200/300/700,1,1,1.0,af21b154-5ee4-4c34-98cb-ebd58f04cdc2
5,2026-09-17T17:19:11.656625,HEK293,51,cold_hand,200/300/900,100/800/900,1,1,1.3333333333333333,7bca65ce-693d-4ad9-bf60-6297014bed83
6,2026-09-17T14:54:13.884814,HEK293,50,cold_hand,200/300/900,200/300/800,2,2,1.3333333333333333,1bdd141b-baee-4f0b-8c57-116709b5396f
7,2026-09-17T12:29:37.788940,K562,45,cold_hand,100/800/900,100/100/100,3,1,1.0,392b3538-c4df-48c6-be18-009f928fc665
8,2026-09-17T10:04:50.190350,K562,44,cold_hand,600/800/900,500/600/900,2,2,1.0,be83a838-ad18-4b8b-a9c0-e24cd643084a
9,2026-09-17T07:40:25.878887,K562,43,cold_hand,600/800/900,400/800/900,2,2,1.0,495d5c6e-0ee8-4560-9e39-97c2b8383409
10,2026-09-17T05:15:18.716827,HUDEP-2,49,uniform,100/200/300,100/300/400,2,2,1.5,f85c9450-f8b9-4e0e-a158-e53db9832f42
